,Product,Consumer_complaint_narrative,category_id
43,"Credit reporting, credit repair services, or other personal consumer reports","My credit reports list monies owed to XXXX. I have written to the collection agency, XXXX XXXX XXXX requesting proof that I owe monies on this account, but none was ever sent. I notified the credit agencies that this creditor never sent me the required proof, yet they continue to list this account on my credit report. 

My credit reports list XXXX XXXX XXXX and XXXX for monies owed to XXXX. I submitted documentation that showed that the original creditor was paid However, the credit reporting agencies continue to list XXXX XXXX on my credit report. Furthermore, two separate collection agencies can not be listed on my creditreport over the same account. 

My credit reports list a bankruptcy that should have been deleted since the 7 years of reporting it has expired.",1
51,"Credit reporting, credit repair services, or other personal consumer reports","Please reverse the late payments reported on the following accounts : XXXX XXXX XXXX The accounts were never past due, i never made a late payment to this company ever please change this, i have a good relationship with these companies.",1
52,"Credit reporting, credit repair services, or other personal consumer reports",I have numerous inquiries on my credit report that I never authorized. I paid for Experian membership and can’t review my credit report. The inquiries are from companies i have not seek credit from. Experian refuses to take identity thief seriously. It’s bad enough they have let a collection agency stay on my credit report without really investigating. After the collection agency deleted the account several times Experian will not delete XXXX XXXX XXXX from my credit report. Inquiries are popping up on my credit report and i don’t understand why and who is doing it.,1
53,"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2020, in the amount of {$1500.00} to XXXX XXXX XXXX XXXX. I paid for deletion and it is still on my credit report saying unpaid. 


On XX/XX/2020, in the amount of {$700.00} to Ad Astra. I paid for deletion and it is still on my credit report as unpaid. 

I have contacted the companies and all I get is a hold on then they hang up.",1
58,Mortgage,"We are experiencing wrongful foreclosure proceedings by Home Point Financial - haven't missed a payment with the exception of an approved forbearance period of 3 months. Funds from a FHA Disaster Partial Claim Modification ( to pay for  forebereance months ) have yet to been applied a year after signing documents. 

After Hurricane Irma ( XX/XX/XXXX ), Home Point Financial ( our mortgage bank ) offered a 3-month forbearance ( for XXXX, XXXX, XXXX ). In XX/XX/XXXX, we continued with our monthly payments until XX/XX/XXXX. On XX/XX/XXXX, we submitted paperwork for an approved FHA Disaster Partial Claim modification that would cover payment for forbearance months + XX/XX/XXXX ( while the modification was setup and took place ) in the amount of {$10000.00}. We were instructed to resume payments in XX/XX/XXXX, and we have sent our monthly payment without failure to this date. 

However, as of today XX/XX/XXXX ( a year after we submitted documentation for the FHA Disaster Partial Claim modification ), the funds have not been applied to the account. In the bank system, we appear delinquent to the amount that equals this modification and regardless of our multiple attempts to call attention to the bank to review this anomaly, we have been told that their system is correct and that we must pay in full that amount. 

We sent a letter* dated XX/XX/XXXX to several offices of Home Point in multiple states with copies of all checks proof of our  regular payments. Should the FHA modification funds were applied, we would not be delinquent. We doubt they read our letter. On phone call in XX/XX/XXXX we were told that because of our delinquency our account was sent to legal department to initiate foreclosure proceedings. *letter attached to this claim. 

Checks with mortgage payments for XXXX and XX/XX/XXXX were returned ; we sent XXXX 's payment but won't be surprised that is also returned. At the moment our delinquency totals 7 months : 4 months covered by the FHA modification + XXXX, XXXX, and XX/XX/XXXX. We have placed the funds for the returned checks aside so that when the bank starts accepting payments again, we will be able to submit. 

For months we have received calls from debt collectors, and experienced dismissives from multiple bank associates and managers - because in their records their files are accurate. They don't seem to realize the FHA modification funds are missing! 

We need help locating the FHA modification funds and having them properly accounted towards our account so that we can bring our loan account current, and stop the wrongful foreclosure proceedings.",4
59,"Credit reporting, credit repair services, or other personal consumer reports","I recently ran my credit report, and noticed a numerous amount of credit inquiries on my report. I need these removed from my credit report immediately, as they are untrue and horrible reflection of my of my credit worthiness. 

1.XXXX 2.XXXX XXXX XXXX 3.XXXX 4.XXXX 5.XXXX XXXX 6.XXXX XXXX XXXX 7.XXXX 8.XXXX XXXX 9.XXXX XXXX XXXX XXXX, XXXX",1
65,Debt collection,"I did not authorize any of my medical providers to disclose any of my personal or medical information with a third party or collection agency. My medical information is no longer undisclosed. I have filed a HIPAA complaint with the U.S. Department of Health and Human Services Office for Civil Rights Complaint Portal : Health Information Privacy. I request validation of this debt per Texas Finance Code Section 392.202 which requires a debt collection agency or credit bureau to provide the alleged debtor with specific information concerning their debt including but not limited to : For the purpose of validation provide me with : The name and address of the original creditor The original date of default or non-payment of the debt with original creditor The date the debt was transferred from the original creditor to the third party debt collector The original balance The current balance Any fees added by your agency. Sec. 392.303 ( a ) ( 2 ) Texas Surety bond information as required by Sec. 392.101 - my original signature on the application from the creditor - my original signature on an application with your office consenting to any service Please note XXXX, XXXX, and XXXX are bonded in the state of Texas and are required to comply with Texas Finance Code. If a debt collector has failed to respond to your debt validation request, then they have essentially admitted, per Texas Finance Code 392.202 ( b ) ( 2 ), that the debt in question is inaccurate. Per this requirement you must delete this trade line if you do not have sufficient time to complete an investigation to validate this debt in 30 days according to Sec. 392.202 ( d ) ( 1 ) Also per Texas Finance Code 392.202 Correction of third -party debt collectors or credit bureaus files. I request immediate notification by mail if this alleged debt is sold or transferred per Sec. 392.301 ( a ) ( 4 ). Please reply with your response via US MAIL. Do not contact me by phone as it is inconvenient. Do not contact my family, acquaintances, or employer in any manner. Please note I am fully prepared to pursue my rights for the harm this inaccuracy has done to me. Sec. 392.403. CIVIL REMEDIES. ( a ) A person may sue for : ( 1 ) injunctive relief to prevent or restrain a violation of this chapter ; and ( 2 ) actual damages sustained as a result of a violation of this chapter. Please also note Texas BCC17. I demand that you will not sell, transfer, or assign this debt per Sec. 392.301 ( a ) ( 4 ). Regards",6
66,Mortgage,"My original mortgage at closing was about {$1800.00} I paid this amount for one ( 1 ) year. This included insurance and property taxes.

In XX/XX/XXXX, I received a shock! The mortgage company neglected to put in the MUD taxes in the note resulting in a $ XX/XX/XXXX increase in payments. This was a deceptive practice because being a retired police officer, I would not have purchased this home. I called everyone to ask why wasn't this amount put into the closing documents when my payment was estimated. No one knows the answer. It seems that I'm in this municipal district in addition to my property taxes. How in the world can that happen. anyway in order not to lose my home, I borrowed the money off my credit card and paid the taxes on the house directly. I then asked the mortgage company to adjust my escrow for this year.

Now they are threatening me with foreclosure. When I sent in my payment of {$1800.00}, they applied it to the escrow without my permission. I have sent the mortgage payment the same way for the past year but in order to continue this unfair tactic, they applied it to escrow. I guess they make a lot of money off interest in escrow. Now they want {$4000.00} f0r the mortgage payment. I need them to adjust the escrow so I can pay the mortgage.",4
69,Debt collection,"In XXXX, I started receiving mail and phone calls from LVNV Funding about a debt from XXXX XXXX for {$1000.00}. I disputed this information several times in writing telling them I dont owe this debt and to send me verification or delete this information off my credit report. LVNV keep sending me a bill as valid reason for them to report this fraudulent information on my credit report. In XXXX I starting receiving more calls and mail about this debt, this time it was Resurgent Capital Services, telling me I need to pay them because it was in pre legal status and I am getting sued. They called several times a day, interrupting me while I was at work. I disputed with them as well but received mail correspondence from LVNV with yet another bill as verification. In XX/XX/XXXX, I started to receive mail and calls from now XXXX XXXX XXXX about this same debt. I have been getting harnessed by LVNV and its related companies for months about a debt that isnt mine. LVNV couldnt provide me with a contract with a signature like I requested so I am being attacked by 3 different companies about the same debt that is hurting my credit file and coasting me additional money. On XX/XX/XXXX, I decide to call Resurgent and resolve this debt because of the damage it is doing to my credit. I explained to the representative that this wasnt my debt however I wish to resolve it. I asked about a settlement and they offered 20 %, I said that was too much. The representative pulled my credit without my permission and told me I could afford it and quoted every credit card as well as my children names off my credit report. She told me my credit lines and who I was an authorized user on what card and everything. I dont feel its fair that LVNV Funding is allowed to report fraudulent unverified information on my credit file. I dont feel that LVNV Funding should be allowed to harass me through all of their different companies for the same debt. I dont feel as the representative had a right to access my credit file without my permission and tell me that I can afford to pay a debt that I told her I wasnt capable of paying in full. I was treated very badly and I feel my privacy has been invaded.",6
70,"Credit reporting, credit repair services, or other personal consumer reports","Identity theft XX/XX/2011. Never been able to get credit report on annual due to not being able to verify my identity. 

Learned tonight, after 3 hours waiting for Equifax to answer, I was advised there is an EXTENDED on my Equifax.

Now, apparently id theft has happened with Equifax. Someone submitted documents to Equifax. Now there is someone tampering with my Equifax report and that is identity theft.

I requested copies of the paperwork that was obtained to of made the alert possible.

I was told I am not allowed to have the information. I am completely locked out of my account and not able to monitor.

Equifax, is not working with me ; yet against me. Should not credit bureaus be working with victims of ID theft?

They made it difficult, and after 3 hours back to square one. Phone disconnected and none of my concerns or actions necessary to protect myself are possible.

I am concerned with the way they identified me. They asked questions that anyone could answer. Of course because someone used the info to add the extended.

I asked her to verify my calling me or texting. I feel safer and its a good tool. I was told they are unable to do that.

Equifax is part of the problem and if they dont cooperate ; what can I do? Submit a complaint to CFPB in which they never acknowledge any of my complaints.

Equifax needs to change their policies to ensure there are extra steps of getting a consumer verified other than asking questions, that someone has from ID theft.

The entire waste of time, without any resolution, and still locked out.

How do I get around this which, should not be difficult in the first place and what reasons are they unable to send a code to our phones and we verify.

The only option they offer, is an email to click a link and emails do not always get delivered quick. I was told to wait an hour, I accept that.

Why would they not take extra secure measures to verify my identity? It is already been established ; someone submitted a copy of my social security, proof of address, and other documents they require for an extended. Am I the XX/XX/XXXX consumer who finds many holes in this process that does nothing for protecting and verifying my identity.

Lastly, if you require further information, how do you communicate with the person filing a complaint? Is there a portal or account options so consumers may have access to reports submitted?

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, AZ XXXX",1
73,Checking or savings account,"I made a purchase from XXXX XXXX for a XXXX XXXX bundle on XX/XX/XXXX. I spoke with an agent online to verify that XXXX XXXX would price match the item, and the agent confirmed that they would price match the sale as long as the order was placed 24 hours after XXXX XXXX was over. The sale price to be matched was from XXXX for XXXX for two controllers, the console and one game ( XXXX XXXX XXXX XXXX ). I placed the order and picked the item up on the XXXX. I did not receive a receipt for the item because the purchase was made online, according to the XXXX XXXX employee. I did not receive a receipt from XXXX XXXX online either, and they have been unable to provide me with a receipt. I checked my checking account information a few days later and noticed that I was charged {$470.00} on XX/XX/XXXX. I contacted Chase and informed them of the issue and they issued me a temporary credit. The issue was resolved until XX/XX/XXXX, when XXXX XXXX sent a receipt to Chase, and Chase recharged my card. I spoke with XXXX XXXX and requested an explanation and they informed me that they would not honor the price match because they have a new policy that they don't price match bundles ( which was not mentioned when I spoke to XXXX XXXX in XXXX ).  XXXX XXXX would also not match any part of the price because the item return/exchange date is XX/XX/XXXX, so they are unable to assist in any way. I have screenshots of the sale price and a transcript of the conversation with the agent that said they would indeed price match the item if I ordered it online. I can also provide the chat transcript, but I have that via email, not a picture.",7
74,Checking or savings account,"Today I am writing to see if you can help me with a bank that is completely ruining my finances and lieing and stealing money from me! On XX/XX/XXXX I ordered from XXXX the a total of XXXX, there was an issue with other I was refunded XXXX on XX/XX/XXXX and never appeared back to my account. I called XXXX thinking maybe an issue on there end and nope it was citizens bank, they gave me all the information I needed to verify with the bank. But instead of citizens helping me they kept taken XXXX out of my account everyday for overdraft, finally I filed a complaint, and the manager said I am so sorry we where having issues that week with refunds going into accounts, he told me my refund would be back in my account in a couple days along with overdraft fees totaling up to XXXX! A few days later I recieved a email from XXXX stating they have to charge me back because citizens demanded there money back and it was fraud!!!!!!!!!!!! It was not fraud it was my refund I then explained to XXXX and told me I had to contact bank where I have gotton now where but lies! My auto insureance was canceled due to them taken out overdrafts frees and not returning my refund! This is fraud on there part!",7
75,Credit card or prepaid card,"Made a payment through XXXX and later disputed it with Discover. On XXXX, the claim is showing as CLOSED IN MY FAVOUR but on Discover, the claim is showing as ruled in merchant 's favor. I've shown Discover all of the necessary documentation and they are still refusing to give back the disputed amount ( > {$300.00} ).",2
79,Mortgage,"We have spoken with several agents of Real Time Resolutions ( RTR ) in regards to the above mentioned mortgage debt being only serviced on behalf of XXXX. ( XXXX ) In response to notices received from RTR dated XXXX XXXX, XXXX, we are requesting that these omissions of RTR having received either Notice of Assignment, Sale or Transfer of servicing rights of the loan to be definitely defined per statutes of Real Estate Settlement Procedures Act ( RESPA ), the Fair Debt collections Act ( FDCPA ), as well as the Fair Credit Reporting Act ( FCRA ) .RTR was served with a Qualified Written Request ( QWR ) on XXXX XXXX, XXXX and they have failed to properly respond to our demands under RESPA , FDCPA and FCRA. They have failed to indicate and establish proper ownership and rights to service the loan. Furthermore, they have failed to provide an itemized accounting ledger of crediting payments made, late fees, etc. from multiple alleged prior servicers of the loan. The assignments, sale affidavits, allonge ( s ) to the note and loan transfers documentation is incomplete and inconsistent with proper mortgage securities and we feel that we are victims of mortgage securitization fraud on many levels, riddled with an array of abusive deceptive practices and misrepresentation.XXXX of RTR, signed an alleged executed agreement with XXXX XXXX XXXX XXXX ( XXXX ) dated XXXX, XXXX, XXXX. By RTR 's own omissions they did not take over servicing rights to the loan until XXXX XXXX, XXXX from XXXX. We have also taken this matter a step further and contacted XXXX County land records here in Texas, and there is no record of assignments for this loan which support or remotely indicate that RTR nor XXXX carry legitimate custodial servicing rights or ownership to this loan. In fact, it appears as though XXXX, still owns the loan which is impossible, because they filed Chapter XXXX bankruptcy in XXXX and all securities liquidated. ( SEE EXHIBIT "" A '' -Collection Agreement Forgery ) According to land records, the loan was originated with XXXX . From there, it was transferred to XXXX XXXX XXXX, and XXXX XXXX XXXX was shut down, following XXXX XXXX filing bankruptcy XXXX XXXX, XXXX. So how is it possible that there was any such agreement made with XXXX and RTR? The answer is. it 's not possible.It appears that the agent of RTR, named XXXX XXXX, is in fact a Robo-signer ; since the alleged agreement according to RTR was signed and dated XXXX, XXXX XXXX ; long after the collapse of XXXX. The milestones report that was provided from RTR is dated XXXX XXXX, XXXX. The report documents a span from XXXX XXXX, XXXX until XXXX XXXX, XXXX ; indicating custodial service rights transfers for XXXX, XXXX, and even XXXX XXXX XXXX ( XXXX ) .The problem as previously addressed, is that XXXX dissolved in XXXX, XXXX XXXX Chapter XXXX in XXXX, all securities sold off, and XXXX is prohibited from participating in any consumer loan in the capacity of owner servicer or any such activities as of XXXX. As far as we are able to tell, the milestone report has been falsified. ( SEE EXHIBIT "" B '' -- XXXX XXXX ) RTR, has also failed to provide evidence of documentation detailing updated assignments of ownership or necessary proof of their custodial servicing obligations. Furthermore, per RESPA and the FDCPA surrounding mortgage debt validation, we are demanding a complete chain of title as well as the Allonge to the Note, sale affidavits and evidence transfer from XXXX to XXXX and XXXX to XXXX, and finally XXXX to RTR. ( including all accounting ledgers from each servicer previously listed as well. ) In particular, there are a multitude of concerns about the facts surrounding Case # XXXX XXXX which involves CEO XXXX XXXX of XXXX XXXX XXXX ( XXXX ), engaging in a number of unlawful lending practices and abusive collection practices.",4
80,"Credit reporting, credit repair services, or other personal consumer reports","I have contacted Transunion an inordinate amount of times regarding updating my credit report after my Chapter XXXX bankruptcy discharge. They are listing accounts from XXXX XXXX XXXX as active accounts. These accounts were included in the bankruptcy years ago. There have been no new accounts or dealings with any company associated with XXXX XXXX. I should not have these items on my credit report any longer. I have sent in copies of my bankruptcy discharge papers as well as proof of my address and how long I've lived there. This has all been to no avail. I have asked several times to be provided with any data they have so that I may file an identity theft report if someone has in fact utilized my information without my consent. To date they have provided nothing. They continue to snd back computer generated letters stating the debts have been verified but according to the Federal Credit Reporting Act this is false. That to me seems unlawful. Therefore I filed a complaint with CFPB previously. You, too were unable to resolve this matter with Transunion. This is against the law. I have contacted this XXXX XXXX company over 30 times. They admit to having received my bankruptcy notification. Then when I ask to speak to a supervisor to assist in communicating this to Transunion, I am transferred around and mysteriously hung up on. This is all absurd and I will be filing lawsuit and complaint with the federal court with regard to the bankruptcy laws being violated within the next few days.",1
